id,name,address,latitude,longitude,categories
WAKwis2gWtNjRqFGkgwORw,AnnaLena,"1809 W 1st Avenue, Vancouver, BC V6J 5B8, Canada",49.2708261,-123.1467714,"Canadian (New), Diners, Bars"
GSg5v3ZJxmMPrlAXqat8tA,Le Crocodile Restaurant,"909 Burrard Street, Suite 100, Vancouver, BC V6Z 2N2, Canada",49.2825393,-123.1252052,French
iid0VenH7rIp3AWuyQAAHw,Saku,"1588 Robson Street, Vancouver, BC V6G 2G5, Canada",49.289223,-123.132266,Japanese
OUzfOoeRg_OY4MChz7VguA,Five Sails Restaurant,"401-999 Canada Place, Vancouver, BC V6C 3E1, Canada",49.2880313351364,-123.113292160758,French
jKO4Og6ucdX2-YCTKQVYjg,Cactus Club Cafe,"1085 Canada Place, Vancouver, BC V6C 3E1, Canada",49.28963138752227,-123.11817709999995,"Canadian (New), Cocktail Bars"
_Ief3C6t-930SBuwvVuDAQ,Tasty Indian Bistro,"8295 Scott Road, Delta, BC V4C 6R1, Canada",49.1547435,-122.8905949,Indian
x9RA_NPjcvQ8-EU28ppBqA,Steveston Pizza Company,"3400 Moncton Street, Suite 100, Richmond, BC V7E 3A2, Canada",49.1250589553541,-123.185554660698,Pizza
_4R46MNkwx9MeOyt0YfNxA,Chambar,"568 Beatty Street, Vancouver, BC V6B 2L3, Canada",49.2801460007961,-123.109925328073,Belgian
NtAiPCm3A14ukgL0oCO91Q,Katsu San,"110-6011 No 1 Road, Richmond, BC V7C 1T4, Canada",49.169982779066,-123.181773349643,Japanese
VPqWLp9kMiZEbctCebIZUA,Medina Cafe,"780 Richards Street, Vancouver, BC V6B 3A4, Canada",49.2804429972571,-123.117036269849,"Breakfast & Brunch, Middle Eastern, Wine Bars"
yeNenSjz_HCqngGFU5d8NQ,Phnom Penh,"244 E Georgia Street, Vancouver, BC V6A 1Z7, Canada",49.278431,-123.098205,"Cambodian, Vietnamese"
5-adl2zPRMgammVOoz5WEg,Published On Main,"3593 Main Street, Vancouver, BC V5V 3N4, Canada",49.25283186017385,-123.10116032897228,"Tapas/Small Plates, Wine Bars, Cocktail Bars"
UCIwZCb5bOhbm037tn3QyA,Fraser Park Restaurant,"4663 Byrne Road, Suite 103, Burnaby, BC V5J 3H6, Canada",49.193718,-122.9971481,"Breakfast & Brunch, German, International"
rmGsHhx-Dn7z9i59VkIkjg,Wild Thyme,"705 12th Street, New Westminster, BC V3M 4J7, Canada",49.2092291,-122.932308,Lebanese
8epZBQPYacy1-KQULLABmg,Alibi Room,"157 Alexander Street, Vancouver, BC V6A 1B8, Canada",49.284201944511,-123.1001915385,"Pubs, Canadian (New), Gastropubs"
iMtUsHOqitE6Aau59K_XRg,Sushi Jin,"750 Nelson Street, Vancouver, BC V6Z 1A8, Canada",49.2795794102629,-123.123817518353,"Japanese, Sushi Bars"
IApa8s-StZo2QcXOyu35tg,Little Minh's,"7533 Market Crossing, Burnaby, BC V5J 0A3, Canada",49.1990675,-122.9799962,Vietnamese
uxHREt3TxRIEfJ8SbWaBkA,Baan Lao Fine Thai Cuisine,"4100 Bayview Street, Richmond, BC V7E 6S8, Canada",49.1231936660221,-123.17862000293508,"Thai, Bars"
2cXOMeyBCx4JFgs5-CJQdQ,Joe Fortes Seafood & Chop House,"777 Thurlow Street, Vancouver, BC V6E 3V5, Canada",49.284968691771624,-123.12455980835064,"Seafood, Steakhouses"
jMz_y_-cWMfiZF7Q5snE6Q,Ramen Danbo - Robson,"1333 Robson Street, Vancouver, BC V6E 2B1, Canada",49.2874959131639,-123.128934167326,"Ramen, Noodles"
uxJqItMyU6pAJxxmveiXBw,Chinatown BBQ,"130 E Pender Street, Vancouver, BC V6A 1T3, Canada",49.280294,-123.1015,"Barbeque, Cantonese"
l6CT7sn3WZsm6y49kLu3LQ,Hei Hei Rice Roll,"2430-8260 Westminster Highway, Richmond, BC V6X 1A7, Canada",49.1700051,-123.1330234,"Noodles, Cantonese"
I0r8kMimYW2BY6lINcZRFA,Kishimoto Japanese Kitchen,"2054 Commercial Drive, Vancouver, BC V5N 4A9, Canada",49.2665099,-123.06935,"Japanese, Sushi Bars"
seDFTCwhSrzOnaj0iYd5Jw,The Dolar Shop - Richmond,"720-5300 No. 3 Rd, Suite 720, Richmond, BC V6X 2C7, Canada",49.1752620984987,-123.134143498425,"Hot Pot, Chinese, Asian Fusion"
CBEdmS6N7NzgOPT5uESuCg,Smokehouse Sandwich,"108-5188 Westminster Highway, Richmond, BC V7C 5S7, Canada",49.169758,-123.16759,"Sandwiches, Smokehouse"
3r9FUpajfS7Or9CVzUmFlg,St Lawrence Restaurant,"269 Powell Street, Vancouver, BC V6A 1G3, Canada",49.2832584031253,-123.097993419888,French
OHMv-_cc0kmRCWV3kM44Bg,Kosoo,"1128 Robson Street, Vancouver, BC V6E 1B2, Canada",49.28494,-123.12592,"Korean, Barbeque, Soul Food"
eYuaH9z_bCDt5Kx7jGEacQ,The Dolar Shop - Station Square,"6078 Silver Dr, Burnaby, BC V5H 0H5, Canada",49.2277884925998,-123.00316795158996,"Hot Pot, Chinese, Asian Fusion"
NxhG1ChJna375NFacaUsUw,Sector 7 Kitchen + Bar,"10-9371  5 Road, Richmond, BC V7A 4E1, Canada",49.144842,-123.092344,"Beer Bar, Burgers, Chicken Wings"
rbgjXYiutRMsKCOrzkm5aw,Oyster Express,"296 Keefer Street, Vancouver, BC V6A 1X5, Canada",49.2792784082144,-123.097397130932,"Seafood, Bars, Soul Food"
8IUK_KGorRQ4yfa5h6ANcQ,Western Lake Chinese Seafood Restaurant,"4989 Victoria Drive, Vancouver, BC V5P 3T7, Canada",49.23933628972885,-123.0655687885182,"Dim Sum, Seafood, Cantonese"
l184Y1d3oAa5_Al4YIaRjQ,Anh and Chi,"3388 Main Street, Vancouver, BC V5V 3M7, Canada",49.2550314422938,-123.100882202153,"Vietnamese, Cocktail Bars"
WCyc2DPB3WnF1amV12aPIQ,STEM Japanese Eatery,"5205 Rumble Street, Burnaby, BC V5J 2B7, Canada",49.21497276456137,-122.98816101534425,Japanese
piwi7Au_17aUKuC2S97Nkg,Zarak By Afghan Kitchen,"2102 Main Street, Vancouver, BC V5T 0K1, Canada",49.266224,-123.1006089,"Afghan, Cocktail Bars, Breakfast & Brunch"
KfXBoMeZBC22VHL4GRt-8g,John 3:16 Malaysian Delights,"6832 & 6838 No.3 Road, Richmond, BC V6Y 2C4, Canada",49.1641317,-123.1362195,Malaysian
BUFt4lRzuOWUmqHBtv7AmQ,Zefferelli's,"1136 Robson Street, Vancouver, BC V6E 1B2, Canada",49.28504,-123.1261,"Italian, Bars"
c-WPBWkQ82pcO7eTkj-5MA,Tenen,"7569 Royal Oak Avenue, Burnaby, BC V5J 4J8, Canada",49.21549,-122.98895,"Barbeque, Modern European, Soup"
uZedpLRFgKSnuCKsX0kh1g,Lamajoun,"128-11782 River Road, Richmond, BC V6X 1Z7, Canada",49.1967128,-123.0952077,"Mediterranean, Vegan, Soup"
RckRmOcX7OtMUDC40Cz3lg,Hello Nori ,"1165 Robson Street, Vancouver, BC V6E 1B5, Canada",49.28559747478766,-123.1261163,"Japanese, Sushi Bars, Coffee & Tea"
DkKH_q0_vdWSWZwFhPFLZw,Tavola,"1829 Robson Street, Vancouver, BC V6G 3E4, Canada",49.2918164,-123.1357186,Italian
MqRoBCv-M-_WQqUPJJqFDw,So Hyang Korean Cuisine,"6345 Fraser Street, Vancouver, BC V5W 3A3, Canada",49.227057510686585,-123.0909235,Korean
lQlJvXi19RJs_q4xR6gcNg,Excellent Tofu & Snacks,"4231 Hazelbridge Way, Suite 160, Richmond, BC V6X 3L7, Canada",49.1826466,-123.1336595,"Desserts, Chinese"
gNCSbTm3unsdztncbgSv5A,Osteria Savio Volpe,"615 Kingsway, Vancouver, BC V5T 3K5, Canada",49.2574913,-123.0909344,Italian
LtUXvhMPyiz93Ls99BvDOA,Yin Ji Chang Fen,"170-8500 Alexandra Road, Richmond, BC V6X 3L4, Canada",49.17786599999999,-123.1294224,"Cantonese, Noodles"
kK4imiJdmPKJBgQXoQ_VTg,Teahouse in Stanley Park,"7501 Stanley Park Drive, Vancouver, BC V6G 1Z4, Canada",49.3012529987012,-123.157079257071,Seafood
XFVGGq47_5mUM9QQsRO8nA,Guu Original Thurlow,"838 Thurlow Street, Vancouver, BC V6E 1W2, Canada",49.2839786648396,-123.125567978574,"Japanese, Tapas Bars"
TQj4HSCmm5GnriKMiSpqpQ,Raisu,"2340 W 4th Avenue, Vancouver, BC V6K 1P1, Canada",49.2679990419609,-123.158381134272,"Japanese, Sushi Bars"
hjou4Tcftqgd2peMPECmeA,YUAN’S HOT POT,"4151 Hazelbridge Way, Richmond, BC V6X 4J7, Canada",49.1831220296222,-123.133927292474,"Hot Pot, Chinese, Asian Fusion"
XAH2HpuUUtu7CUO26pbs4w,Saku,"548 W Broadway, Vancouver, BC V5Z 1E9, Canada",49.2631006,-123.11667523250104,"Japanese, Noodles, Seafood"
VHvlre6m3-oUlixGLlOnRA,Richmond Night Market,"8351 River Road, Richmond, BC V6X 1Y4, Canada",49.19241,-123.13317,"Chinese, Food Stands, Festivals"
l2f2PU8Rtr5TPtzwaGQ_sA,Seasons In the Park,"Queen Elizabeth Park, Cambie Street W 33rd Avenue, Vancouver, BC V5Y 2M5, Canada",49.2416705486198,-123.112535476685,Seafood
I3WL4SUztqMKa3VlR7mAIg,Ganbei Izakaya Japanese Restaurant,"133-4800 No 3 Road, Richmond, BC V6X 3A6, Canada",49.179037334275435,-123.13536451346614,"Japanese, Sushi Bars"
Znye-DqtLoBzeuM4A5n3jg,Takara Sushi,"3726 Canada Way, Burnaby, BC V5G 1G4, Canada",49.2545851,-123.0220016,"Sushi Bars, Japanese"
oLoO76fZnnci-TOj9xWF1A,España Restaurant,"1118 Denman Street, Vancouver, BC V6G 2M8, Canada",49.2880552,-123.1404114,Spanish
GUWoTn1SUNv9kCuSsXPXCw,Memory Corner,"1110-4651 Garden City Rd, Richmond, BC V6X 4A9, Canada",49.179073,-123.124947,Taiwanese
FThw9d9asDhGfYSt0N4UoA,Tour De Feast,"319 Mountain Highway, North Vancouver, BC V7J 2K7, Canada",49.3074,-123.03223,"French, Breakfast & Brunch"
